"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bids_subject_id,mriqc_info,,text,"BIDS Subject ID",,,,,,,,,,,,,
structural_filename,mriqc_structural_iqm,,text,structural.filename,,,,,,,,,,,,,
structural_cjv,mriqc_structural_iqm,,text,structural.cjv,,,number,,,,,,,,,,
structural_cnr,mriqc_structural_iqm,,text,structural.cnr,,,number,,,,,,,,,,
structural_efc,mriqc_structural_iqm,,text,structural.efc,,,number,,,,,,,,,,
structural_fber,mriqc_structural_iqm,,text,structural.fber,,,number,,,,,,,,,,
structural_fwhm_avg,mriqc_structural_iqm,,text,structural.fwhm_avg,,,number,,,,,,,,,,
structural_fwhm_x,mriqc_structural_iqm,,text,structural.fwhm_x,,,number,,,,,,,,,,
structural_fwhm_y,mriqc_structural_iqm,,text,structural.fwhm_y,,,number,,,,,,,,,,
structural_fwhm_z,mriqc_structural_iqm,,text,structural.fwhm_z,,,number,,,,,,,,,,
structural_icvs_csf,mriqc_structural_iqm,,text,structural.icvs_csf,,,number,,,,,,,,,,
structural_icvs_gm,mriqc_structural_iqm,,text,structural.icvs_gm,,,number,,,,,,,,,,
structural_icvs_wm,mriqc_structural_iqm,,text,structural.icvs_wm,,,number,,,,,,,,,,
structural_inu_med,mriqc_structural_iqm,,text,structural.inu_med,,,number,,,,,,,,,,
structural_inu_range,mriqc_structural_iqm,,text,structural.inu_range,,,number,,,,,,,,,,
structural_qi_1,mriqc_structural_iqm,,text,structural.qi_1,,,number,,,,,,,,,,
structural_qi_2,mriqc_structural_iqm,,text,structural.qi_2,,,number,,,,,,,,,,
structural_rpve_csf,mriqc_structural_iqm,,text,structural.rpve_csf,,,number,,,,,,,,,,
structural_rpve_gm,mriqc_structural_iqm,,text,structural.rpve_gm,,,number,,,,,,,,,,
structural_rpve_wm,mriqc_structural_iqm,,text,structural.rpve_wm,,,number,,,,,,,,,,
structural_size_x,mriqc_structural_iqm,,text,structural.size_x,,,number,,,,,,,,,,
structural_size_y,mriqc_structural_iqm,,text,structural.size_y,,,number,,,,,,,,,,
structural_size_z,mriqc_structural_iqm,,text,structural.size_z,,,number,,,,,,,,,,
structural_snr_csf,mriqc_structural_iqm,,text,structural.snr_csf,,,number,,,,,,,,,,
structural_snr_gm,mriqc_structural_iqm,,text,structural.snr_gm,,,number,,,,,,,,,,
structural_snr_total,mriqc_structural_iqm,,text,structural.snr_total,,,number,,,,,,,,,,
structural_snr_wm,mriqc_structural_iqm,,text,structural.snr_wm,,,number,,,,,,,,,,
structural_snrd_csf,mriqc_structural_iqm,,text,structural.snrd_csf,,,number,,,,,,,,,,
structural_snrd_gm,mriqc_structural_iqm,,text,structural.snrd_gm,,,number,,,,,,,,,,
structural_snrd_total,mriqc_structural_iqm,,text,structural.snrd_total,,,number,,,,,,,,,,
structural_snrd_wm,mriqc_structural_iqm,,text,structural.snrd_wm,,,number,,,,,,,,,,
structural_spacing_x,mriqc_structural_iqm,,text,structural.spacing_x,,,number,,,,,,,,,,
structural_spacing_y,mriqc_structural_iqm,,text,structural.spacing_y,,,number,,,,,,,,,,
structural_spacing_z,mriqc_structural_iqm,,text,structural.spacing_z,,,number,,,,,,,,,,
structural_summary_bg_k,mriqc_structural_iqm,,text,structural.summary_bg_k,,,number,,,,,,,,,,
structural_summary_bg_mad,mriqc_structural_iqm,,text,structural.summary_bg_mad,,,number,,,,,,,,,,
structural_summary_bg_mean,mriqc_structural_iqm,,text,structural.summary_bg_mean,,,number,,,,,,,,,,
structural_summary_bg_median,mriqc_structural_iqm,,text,structural.summary_bg_median,,,number,,,,,,,,,,
structural_summary_bg_n,mriqc_structural_iqm,,text,structural.summary_bg_n,,,number,,,,,,,,,,
structural_summary_bg_p05,mriqc_structural_iqm,,text,structural.summary_bg_p05,,,number,,,,,,,,,,
structural_summary_bg_p95,mriqc_structural_iqm,,text,structural.summary_bg_p95,,,number,,,,,,,,,,
structural_summary_bg_stdv,mriqc_structural_iqm,,text,structural.summary_bg_stdv,,,number,,,,,,,,,,
structural_summary_csf_k,mriqc_structural_iqm,,text,structural.summary_csf_k,,,number,,,,,,,,,,
structural_summary_csf_mad,mriqc_structural_iqm,,text,structural.summary_csf_mad,,,number,,,,,,,,,,
structural_summary_csf_mean,mriqc_structural_iqm,,text,structural.summary_csf_mean,,,number,,,,,,,,,,
structural_summary_csf_median,mriqc_structural_iqm,,text,structural.summary_csf_median,,,number,,,,,,,,,,
structural_summary_csf_n,mriqc_structural_iqm,,text,structural.summary_csf_n,,,number,,,,,,,,,,
structural_summary_csf_p05,mriqc_structural_iqm,,text,structural.summary_csf_p05,,,number,,,,,,,,,,
structural_summary_csf_p95,mriqc_structural_iqm,,text,structural.summary_csf_p95,,,number,,,,,,,,,,
structural_summary_csf_stdv,mriqc_structural_iqm,,text,structural.summary_csf_stdv,,,number,,,,,,,,,,
structural_summary_gm_k,mriqc_structural_iqm,,text,structural.summary_gm_k,,,number,,,,,,,,,,
structural_summary_gm_mad,mriqc_structural_iqm,,text,structural.summary_gm_mad,,,number,,,,,,,,,,
structural_summary_gm_mean,mriqc_structural_iqm,,text,structural.summary_gm_mean,,,number,,,,,,,,,,
structural_summary_gm_median,mriqc_structural_iqm,,text,structural.summary_gm_median,,,number,,,,,,,,,,
structural_summary_gm_n,mriqc_structural_iqm,,text,structural.summary_gm_n,,,number,,,,,,,,,,
structural_summary_gm_p05,mriqc_structural_iqm,,text,structural.summary_gm_p05,,,number,,,,,,,,,,
structural_summary_gm_p95,mriqc_structural_iqm,,text,structural.summary_gm_p95,,,number,,,,,,,,,,
structural_summary_gm_stdv,mriqc_structural_iqm,,text,structural.summary_gm_stdv,,,number,,,,,,,,,,
structural_summary_wm_k,mriqc_structural_iqm,,text,structural.summary_wm_k,,,number,,,,,,,,,,
structural_summary_wm_mad,mriqc_structural_iqm,,text,structural.summary_wm_mad,,,number,,,,,,,,,,
structural_summary_wm_mean,mriqc_structural_iqm,,text,structural.summary_wm_mean,,,number,,,,,,,,,,
structural_summary_wm_median,mriqc_structural_iqm,,text,structural.summary_wm_median,,,number,,,,,,,,,,
structural_summary_wm_n,mriqc_structural_iqm,,text,structural.summary_wm_n,,,number,,,,,,,,,,
structural_summary_wm_p05,mriqc_structural_iqm,,text,structural.summary_wm_p05,,,number,,,,,,,,,,
structural_summary_wm_p95,mriqc_structural_iqm,,text,structural.summary_wm_p95,,,number,,,,,,,,,,
structural_summary_wm_stdv,mriqc_structural_iqm,,text,structural.summary_wm_stdv,,,number,,,,,,,,,,
structural_tpm_overlap_csf,mriqc_structural_iqm,,text,structural.tpm_overlap_csf,,,number,,,,,,,,,,
structural_tpm_overlap_gm,mriqc_structural_iqm,,text,structural.tpm_overlap_gm,,,number,,,,,,,,,,
structural_tpm_overlap_wm,mriqc_structural_iqm,,text,structural.tpm_overlap_wm,,,number,,,,,,,,,,
structural_wm2max,mriqc_structural_iqm,,text,structural.wm2max,,,number,,,,,,,,,,
structural_bids_meta_acquisitionduration,mriqc_structural_iqm,,text,structural.bids_meta.AcquisitionDuration,,,number,,,,,,,,,,
structural_bids_meta_acquisitionmatrixpe,mriqc_structural_iqm,,text,structural.bids_meta.AcquisitionMatrixPE,,,number,,,,,,,,,,
structural_bids_meta_acquisitionnumber,mriqc_structural_iqm,,text,structural.bids_meta.AcquisitionNumber,,,number,,,,,,,,,,
structural_bids_meta_acquisitiontime,mriqc_structural_iqm,,text,structural.bids_meta.AcquisitionTime,,,,,,,,,,,,,
structural_bids_meta_baseresolution,mriqc_structural_iqm,,text,structural.bids_meta.BaseResolution,,,number,,,,,,,,,,
structural_bids_meta_bidsguess,mriqc_structural_iqm,,text," structural.bids_meta.BidsGuess",,,,,,,,,,,,,
structural_bids_meta_bodypartexamined,mriqc_structural_iqm,,text,structural.bids_meta.BodyPartExamined,,,,,,,,,,,,,
structural_bids_meta_coilcombinationmethod,mriqc_structural_iqm,,text,structural.bids_meta.CoilCombinationMethod,,,,,,,,,,,,,
structural_bids_meta_coilstring,mriqc_structural_iqm,,text," structural.bids_meta.CoilString",,,,,,,,,,,,,
structural_bids_meta_consistencyinfo,mriqc_structural_iqm,,text,structural.bids_meta.ConsistencyInfo,,,,,,,,,,,,,
structural_bids_meta_conversionsoftware,mriqc_structural_iqm,,text,structural.bids_meta.ConversionSoftware,,,,,,,,,,,,,
structural_bids_meta_conversionsoftwareversion,mriqc_structural_iqm,,text,structural.bids_meta.ConversionSoftwareVersion,,,,,,,,,,,,,
structural_bids_meta_dcm2bidsversion,mriqc_structural_iqm,,text,structural.bids_meta.Dcm2bidsVersion,,,,,,,,,,,,,
structural_bids_meta_deviceserialnumber,mriqc_structural_iqm,,text,structural.bids_meta.DeviceSerialNumber,,,,,,,,,,,,,
structural_bids_meta_dwelltime,mriqc_structural_iqm,,text,structural.bids_meta.DwellTime,,,number,,,,,,,,,,
structural_bids_meta_echotime,mriqc_structural_iqm,,text,structural.bids_meta.EchoTime,,,number,,,,,,,,,,
structural_bids_meta_flipangle,mriqc_structural_iqm,,text,structural.bids_meta.FlipAngle,,,number,,,,,,,,,,
structural_bids_meta_frequencyencodingsteps,mriqc_structural_iqm,,text," structural.bids_meta.FrequencyEncodingSteps",,,number,,,,,,,,,,
